Designator,Mid X,Mid Y,Rotation,Layer
A1,107.99,-88.29,180.0,top
C1,166.72,-107.07,270.0,top
C10,158.7,-118.3825,0.0,top
C11,158.7,-115.5825,0.0,top
C2,171.15,-106.6375,270.0,top
C3,169.15,-106.6375,270.0,top
C4,163.22,-64.3575,180.0,top
C5,151.255,-120.8,0.0,top
C6,155.22,-67.1075,180.0,top
C7,155.22,-69.3075,180.0,top
C8,155.22,-71.3075,180.0,top
C9,160.2675,-112.8825,0.0,top
H1,90.0,-60.52,0.0,top
H2,193.0,-60.52,0.0,top
H3,193.0,-124.52,0.0,top
H4,90.0,-124.52,0.0,top
U1,163.22,-70.1075,0.0,top
U2,151.21,-115.0,180.0,top
U3,154.69,-93.2275,270.0,top
